buffer_size,load_total,clear_total,input_load,input_clear,weight_load,weight_clear,output_load,output_clear
4096,69200,11590,2650,677,53750,10900,12800,13
14336,69200,3827,2650,677,53750,3146,12800,4
24576,69200,2560,2650,677,53750,1880,12800,3
34816,69200,2007,2650,677,53750,1328,12800,2
45056,69200,1733,2650,677,53750,1054,12800,2
55296,69200,1509,2650,677,53750,831,12800,1
65536,69200,1396,2650,677,53750,718,12800,1
75776,69200,1305,2650,677,53750,627,12800,1
86016,69200,1242,2650,677,53750,564,12800,1
96256,69200,1189,2650,677,53750,511,12800,1
106496,69200,1146,2650,677,53750,468,12800,1
116736,69200,1113,2650,677,53750,435,12800,1
126976,69200,1078,2650,677,53750,400,12800,1
137216,69200,1060,2650,677,53750,382,12800,1
147456,69200,1030,2650,677,53750,352,12800,1
157696,69200,1027,2650,677,53750,349,12800,1
167936,69200,1002,2650,677,53750,324,12800,1
178176,69200,978,2650,677,53750,300,12800,1
188416,69200,978,2650,677,53750,300,12800,1
198656,69200,974,2650,677,53750,296,12800,1
208896,69200,954,2650,677,53750,276,12800,1
219136,69200,934,2650,677,53750,256,12800,1
229376,69200,928,2650,677,53750,250,12800,1
239616,69200,928,2650,677,53750,250,12800,1
249856,69200,928,2650,677,53750,250,12800,1
260096,69200,928,2650,677,53750,250,12800,1
