buffer_size,load_total,clear_total,input_load,input_clear,weight_load,weight_clear,output_load,output_clear
4096,69200,11590,2650,677,53750,10900,12800,13
14336,69200,3361,2650,211,53750,3146,12800,4
24576,69200,2017,2650,134,53750,1880,12800,3
34816,69200,1431,2650,101,53750,1328,12800,2
45056,69200,1142,2650,86,53750,1054,12800,2
55296,69200,906,2650,74,53750,831,12800,1
65536,69200,788,2650,69,53750,718,12800,1
75776,69200,692,2650,64,53750,627,12800,1
86016,69200,624,2650,59,53750,564,12800,1
96256,69200,566,2650,54,53750,511,12800,1
106496,69200,519,2650,50,53750,468,12800,1
116736,69200,486,2650,50,53750,435,12800,1
126976,69200,451,2650,50,53750,400,12800,1
137216,69200,433,2650,50,53750,382,12800,1
147456,69200,403,2650,50,53750,352,12800,1
157696,69200,400,2650,50,53750,349,12800,1
167936,69200,375,2650,50,53750,324,12800,1
178176,69200,351,2650,50,53750,300,12800,1
188416,69200,351,2650,50,53750,300,12800,1
198656,69200,347,2650,50,53750,296,12800,1
208896,69200,327,2650,50,53750,276,12800,1
219136,69200,307,2650,50,53750,256,12800,1
229376,69200,301,2650,50,53750,250,12800,1
239616,69200,301,2650,50,53750,250,12800,1
249856,69200,301,2650,50,53750,250,12800,1
260096,69200,301,2650,50,53750,250,12800,1
