buffer_size,load_total,clear_total,input_load,input_clear,weight_load,weight_clear,output_load,output_clear
4096,69200,11590,2650,677,53750,10900,12800,13
14336,69200,11115,2650,211,53750,10900,12800,4
24576,69200,11037,2650,134,53750,10900,12800,3
34816,69200,11003,2650,101,53750,10900,12800,2
45056,69200,10988,2650,86,53750,10900,12800,2
55296,69200,10975,2650,74,53750,10900,12800,1
65536,69200,10970,2650,69,53750,10900,12800,1
75776,69200,10965,2650,64,53750,10900,12800,1
86016,69200,10960,2650,59,53750,10900,12800,1
96256,69200,10955,2650,54,53750,10900,12800,1
106496,69200,10951,2650,50,53750,10900,12800,1
116736,69200,10951,2650,50,53750,10900,12800,1
126976,69200,10951,2650,50,53750,10900,12800,1
137216,69200,10951,2650,50,53750,10900,12800,1
147456,69200,10951,2650,50,53750,10900,12800,1
157696,69200,10951,2650,50,53750,10900,12800,1
167936,69200,10951,2650,50,53750,10900,12800,1
178176,69200,10951,2650,50,53750,10900,12800,1
188416,69200,10951,2650,50,53750,10900,12800,1
198656,69200,10951,2650,50,53750,10900,12800,1
208896,69200,10951,2650,50,53750,10900,12800,1
219136,69200,10951,2650,50,53750,10900,12800,1
229376,69200,10951,2650,50,53750,10900,12800,1
239616,69200,10951,2650,50,53750,10900,12800,1
249856,69200,10951,2650,50,53750,10900,12800,1
260096,69200,10951,2650,50,53750,10900,12800,1
