buffer_size,load_total,clear_total,input_load,input_clear,weight_load,weight_clear,output_load,output_clear
1024,107550,572,150,111,53700,251,53700,210
11264,107550,284,150,12,53700,251,53700,21
21504,107550,272,150,8,53700,251,53700,13
31744,107550,266,150,6,53700,251,53700,9
41984,107550,266,150,6,53700,251,53700,9
52224,107550,260,150,4,53700,251,53700,5
62464,107550,260,150,4,53700,251,53700,5
72704,107550,260,150,4,53700,251,53700,5
82944,107550,260,150,4,53700,251,53700,5
93184,107550,260,150,4,53700,251,53700,5
103424,107550,260,150,4,53700,251,53700,5
113664,107550,260,150,4,53700,251,53700,5
123904,107550,260,150,4,53700,251,53700,5
134144,107550,260,150,4,53700,251,53700,5
144384,107550,260,150,4,53700,251,53700,5
154624,107550,260,150,4,53700,251,53700,5
164864,107550,260,150,4,53700,251,53700,5
175104,107550,260,150,4,53700,251,53700,5
185344,107550,260,150,4,53700,251,53700,5
195584,107550,260,150,4,53700,251,53700,5
205824,107550,260,150,4,53700,251,53700,5
216064,107550,260,150,4,53700,251,53700,5
226304,107550,260,150,4,53700,251,53700,5
236544,107550,260,150,4,53700,251,53700,5
246784,107550,260,150,4,53700,251,53700,5
257024,107550,260,150,4,53700,251,53700,5
